numero,proyecto,fecha,estado,titulo,autores
14794,14794/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE SAN JUAN, UBICADO EN LA PROVINCIA DE CORONEL PORTILLO Y DEPARTAMENTO DE UCAYALI","Bellido Ugarte, Guido; Arriola Tueros, José Alberto; Tello Montes, Nivardo Edgar; Laura Rojas, Judith; Juárez Calle, Heidy Lisbeth; Espinoza Vargas, Jhaec Darwin"
14795,14795/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE MOTUPILLO, UBICADO EN LA PROVINCIA DE FERREÑAFE, DEPARTAMENTO DE LAMBAYEQUE","Bellido Ugarte, Guido; Arriola Tueros, José Alberto; Laura Rojas, Judith; Tello Montes, Nivardo Edgar; Juárez Calle, Heidy Lisbeth; Espinoza Vargas, Jhaec Darwin"
14796,14796/2025-CR,2026-06-11,EN COMISIÓN,PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL EL RECONOCIMIENTO COMO PATRIMONIO CULTURAL INMATERIAL DE LA NACIÓN AL SANTIAGO CHINCHIHUASINO,"Bellido Ugarte, Guido; Tello Montes, Nivardo Edgar; Arriola Tueros, José Alberto; Juárez Calle, Heidy Lisbeth; Espinoza Vargas, Jhaec Darwin; Laura Rojas, Judith"
14797,14797/2025-CR,2026-06-11,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA EL CONTROL Y MITIGACIÓN DE LA PRESENCIA DE CADMIO EN LA PRODUCCIÓN DE PALTA, ESPÁRRAGO Y DEMÁS CULTIVOS AGROEXPORTADORES PRIORIZADOS EN LA AGENDA ESTRATÉGICA NACIONAL CADMIO 2025–2030","Pariona Sinche, Alfredo; Robles Araujo, Silvana Emperatriz; Flores Ramírez, Alex Randu; Quito Sarmiento, Bernardo Jaime"
14798,14798/2025-CR,2026-06-12,EN COMISIÓN,PROYECTO DE LEY QUE PROMUEVE LA MINERÍA AURÍFERA PEQUEÑA Y ARTESANAL,"Monteza Facho, Silvia María; López Ureña, Ilich Fredy; Vergara Mendoza, Elvis Hernán; Portero López, Hilda Marleny; Mori Celis, Juan Carlos; Aragón Carreño, Luis Ángel; Zegarra Saboya, Ana Zadith; Paredes Gonzales, Alex Antonio"
14799,14799/2025-PE,2026-06-12,EN CUARTO INTERMEDIO,"PROYECTO DE LEY QUE APRUEBA CRÉDITOS SUPLEMENTARIOS PARA EL FINANCIAMIENTO DE INVERSIONES PÚBLICAS ORIENTADAS AL CIERRE DE BRECHAS, LA CONTINUIDAD DE LOS SERVICIOS DEL ESTADO Y GARANTIZAR LA TRANSICIÓN DEMOCRÁTICA; Y DICTA OTRAS MEDIDAS",
14800,14800/2025-CR,2026-06-12,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CREACIÓN DE LA UNIVERSIDAD NACIONAL TECNOLÓGICA PÚBLICA “ALMIRANTE MIGUEL MARÍA GRAU SEMINARIO DE PIURA""","Cerrón Rojas, Waldemar José; Gonza Castillo, Américo; Mita Alanoca, Isaac; Espiritu Cavero, Raul; Cruz Mamani, Flavio; Agüero Gutiérrez, María Antonieta"
14801,14801/2025-CR,2026-06-12,EN COMISIÓN,"PROYECTO DE LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL EL NUEVO TERMINAL PORTUARIO DE CHIMBOTE, UBICADO EN EL DEPARTAMENTO DE ÁNCASH","Chacón Trujillo, Nilza Merly; Jiménez Heredia, David Julio; Infantes Castañeda, Mery Eliana; López Morales, Jeny Luz; Castillo Rivas, Eduardo Enrique; Rospigliosi Capurro, Fernando Miguel; Moyano Delgado, Martha Lupe"
14802,14802/2025-CR,2026-06-12,EN COMISIÓN,"PROYECTO DE LEY DE REFORMA CONSTITUCIONAL QUE MODIFICA EL ARTÍCULO 111 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ, A FIN DE INCORPORAR UNA SEGUNDA ELECCIÓN PRESIDENCIAL AMPLIADA EN ESCENARIOS DE ALTA FRAGMENTACIÓN ELECTORAL","Málaga Trillo, George Edward"
14803,14803/2025-CR,2026-06-15,EN COMISIÓN,"PROYECTO DE LEY QUE DEROGA LA LEY 32182, NORMA “PRO CRIMEN” QUE AMENAZA LA FUNCIÓN FISCAL Y LA ADMINISTRACIÓN DE JUSTICIA","Sánchez Palomino, Roberto Helbert; Cutipa Ccama, Víctor Raúl; Coayla Juárez, Jorge Samuel; Varas Meléndez, Elías Marcial; Quispe Mamani, Wilson Rusbel; Limachi Quispe, Nieves Esmeralda"
